X,Y,fid,Name,No,SK_ID,SK_start_position,Side_road___kp,Road,Kp,Kp_SK,odc,Modules,Module_1,Module_2,Module_3,Module_4,Module_5,Module_6,Module_7,Module_8,Module_9,Module_10,Module_11,SK_ID_full,status,GSM,Odcinek,Typ szafy,icon_url
19.082888,50.454861,"1599",SSKS1bkm001967ŁL,"2602.0","2602.0","1389.0",,S1,,,,"2.0",104_B_3_313,114_A_3_302,,,,,,,,,,ID_0_2602,"0",,"2",M-3.1,./0.png
19.082625,50.453863,"1600",SSKS1bkm001899ŁP,"2603.0","2603.0","1391.0",,S1,,,,"2.0",104_B_3_312,114_A_3_301,,,,,,,,,,ID_0_2603,"0",,"2",M-3.1,./0.png
19.0794326,50.4533713,"1601",SSKS1bkm001683,"2604.0","2604.0","1393.0",,S1,,,,"3.0",101_C_3_020,104_B_3_311,114_A_3_300,,,,,,,,,ID_0_2604,"0",,"2",M-3.2,./0.png
19.07984,50.454207,"1602",SSKS1bkm001694,"2605.0","2605.0","1396.0",,S1,,,,"3.0",104_B_3_310,106_A_3_075,114_A_3_299,,,,,,,,,ID_0_2605,"0",,"2",M-3.1,./0.png
19.0775593,50.4532861,"1603",SSKS1bkm001526,"2606.0","2606.0","1399.0",,S1,,,,"2.0",104_C_3_202,104_C_3_203,,,,,,,,,,ID_0_2606,"0",,"2",M-3.1,./0.png
19.0723894,50.4526351,"1604",SSKS1bkm001164,"2607.0","2607.0","1401.0",,S1,,,,"1.0",101_B_3_083,,,,,,,,,,,ID_0_2607,"0",,"2",M-3.1,./0.png
19.0680432,50.4527377,"1605",SSKS1bkm000812,"2608.0","2608.0","1402.0",,S1,,, 104_B_3_314,"5.0",101_B_3_082,103_B_3_023,104_B_3_314,104_B_3_315,114_B_3_006,,,,,,,ID_0_2608,"0",,"2",M-3.3,./0.png
19.2094108,50.4201424,"1606",SSKS1bkm012605,"2609.0","2609.0","1407.0",,S1,,,,"1.0",106_A_3_014,,,,,,,,,,,ID_0_2609,"0",,"7",M-3.1,./0.png
19.209809,50.420816,"1607",SSKS1bkm012599ŁL,"2610.0","2610.0","1408.0",,S1,,, 114_A_3_298),"4.0",104_B_3_112,104_B_3_309,114_A_3_113,114_A_3_298,,,,,,,,ID_0_2610,"0",,"7",M-3.1,./0.png
19.0613258,50.4535447,"1610",SSKS1bkm000300,"2613.0","2613.0","1412.0",,A1,,,,"1.0",104_C_3_065,,,,,,,,,,,ID_0_2613,"0",,"2",M-3.1,./0.png
19.2002043,50.420212,"1611",SSKS1bkm011951,"2614.0","2614.0","1413.0",,S1,,,,"1.0",104_C_3_200,,,,,,,,,,,ID_0_2614,"0",,"7",M-3.1,./0.png
19.059286,50.4535633,"1612",SSKS1bkm000207,"2615.0","2615.0","1414.0",,S1,,,,"1.0",104_C_3_066,,,,,,,,,,,ID_0_2615,"0",,"7",M-3.1,./0.png
18.7290263,50.2726343,"1613",SSKA1bkm004688P,"2616.0","2616.0","1415.0",,A1,,,,"1.0",101_B_3_031,,,,,,,,,,,ID_0_2616,"0",,"5",M-3.1,./0.png
18.394581,49.959563,"1899","SSKul.Raciborska002,Gorzyce","2902.0","2902.0","1416.0",,DK78,,,,"1.0",101_B_3_106,,,,,,,,,,,ID_0_2902,"0",tak,"8",M-3.1,./0.png
19.0049462,49.8437348,"1900",SSKS52km031953,"2903.0","2903.0","1417.0",,S52,,,,"1.0",101_B_3_019,,,,,,,,,,,ID_0_2903,"0",,"6",M-3.1,./0.png
18.616073,50.398616,"1901","SSKul.Toszecka001,Pyskowice","2904.0","2904.0","1418.0",,DK94,,,,"1.0",101_B_3_027,,,,,,,,,,,ID_0_2904,"0",tak,"10",M-3.1,./0.png
18.624016,50.394624,"1902","SSK.ul.Toszecka002,Pyskowice","2905.0","2905.0","1419.0",,DK94,,,,"1.0",101_B_3_028,,,,,,,,,,,ID_0_2905,"0",tak,"10",M-3.1,./0.png
18.598014,50.213224,"1903","SSKul.Rybnicka001,Wilcza","2906.0","2906.0","1420.0",,DK78,,,,"1.0",101_B_3_136,,,,,,,,,,,ID_0_2906,"0",tak,"8",M-3.1,./0.png
